Aika;Kulutus (netotettu) kWh;Tuotanto (netotettu) kWh;Vuorokauden keskilämpötila
2022-01-01T00:00:00.000+02:00;3,230;0,000;-6,3
2022-01-01T01:00:00.000+02:00;4,470;0,000;-6,3
2022-01-01T02:00:00.000+02:00;4,140;0,000;-6,3
2022-01-01T03:00:00.000+02:00;1,270;0,000;-6,3
2022-01-01T04:00:00.000+02:00;1,310;0,000;-6,3
2022-01-01T05:00:00.000+02:00;1,990;0,000;-6,3
2022-01-01T06:00:00.000+02:00;2,080;0,000;-6,3
2022-01-01T07:00:00.000+02:00;2,990;0,000;-6,3
2022-01-01T08:00:00.000+02:00;1,650;0,000;-6,3
2022-01-01T09:00:00.000+02:00;2,580;0,000;-6,3
2022-01-01T10:00:00.000+02:00;2,710;0,000;-6,3
2022-01-01T11:00:00.000+02:00;4,190;0,000;-6,3
2022-01-01T12:00:00.000+02:00;2,680;0,000;-6,3
2022-01-01T13:00:00.000+02:00;4,320;0,000;-6,3
2022-01-01T14:00:00.000+02:00;3,900;0,000;-6,3
2022-01-01T15:00:00.000+02:00;3,890;0,000;-6,3
2022-01-01T16:00:00.000+02:00;1,940;0,000;-6,3
2022-01-01T17:00:00.000+02:00;2,310;0,000;-6,3
2022-01-01T18:00:00.000+02:00;3,440;0,000;-6,3
2022-01-01T19:00:00.000+02:00;5,070;0,000;-6,3
2022-01-01T20:00:00.000+02:00;3,620;0,000;-6,3
2022-01-01T21:00:00.000+02:00;3,110;0,000;-6,3
2022-01-01T22:00:00.000+02:00;4,380;0,000;-6,3
2022-01-01T23:00:00.000+02:00;3,980;0,000;-6,3
2022-01-02T00:00:00.000+02:00;4,490;0,000;-7,0
2022-01-02T01:00:00.000+02:00;4,360;0,000;-7,0
2022-01-02T02:00:00.000+02:00;4,570;0,000;-7,0
2022-01-02T03:00:00.000+02:00;5,220;0,000;-7,0
2022-01-02T04:00:00.000+02:00;2,710;0,000;-7,0
2022-01-02T05:00:00.000+02:00;2,870;0,000;-7,0
2022-01-02T06:00:00.000+02:00;2,550;0,000;-7,0
2022-01-02T07:00:00.000+02:00;2,570;0,000;-7,0
2022-01-02T08:00:00.000+02:00;1,940;0,000;-7,0
2022-01-02T09:00:00.000+02:00;2,520;0,000;-7,0
2022-01-02T10:00:00.000+02:00;1,810;0,000;-7,0
2022-01-02T11:00:00.000+02:00;2,660;0,000;-7,0
2022-01-02T12:00:00.000+02:00;4,190;0,000;-7,0
2022-01-02T13:00:00.000+02:00;4,760;0,000;-7,0
2022-01-02T14:00:00.000+02:00;4,700;0,000;-7,0
2022-01-02T15:00:00.000+02:00;2,370;0,000;-7,0
2022-01-02T16:00:00.000+02:00;1,340;0,000;-7,0
2022-01-02T17:00:00.000+02:00;3,460;0,000;-7,0
2022-01-02T18:00:00.000+02:00;2,770;0,000;-7,0
2022-01-02T19:00:00.000+02:00;1,860;0,000;-7,0
2022-01-02T20:00:00.000+02:00;1,830;0,000;-7,0
2022-01-02T21:00:00.000+02:00;1,620;0,000;-7,0
2022-01-02T22:00:00.000+02:00;3,370;0,000;-7,0
2022-01-02T23:00:00.000+02:00;4,950;0,000;-7,0
2022-01-03T00:00:00.000+02:00;5,360;0,000;-4,4
2022-01-03T01:00:00.000+02:00;4,400;0,000;-4,4
2022-01-03T02:00:00.000+02:00;4,070;0,000;-4,4
2022-01-03T03:00:00.000+02:00;5,000;0,000;-4,4
2022-01-03T04:00:00.000+02:00;3,960;0,000;-4,4
2022-01-03T05:00:00.000+02:00;4,510;0,000;-4,4
2022-01-03T06:00:00.000+02:00;2,210;0,000;-4,4
2022-01-03T07:00:00.000+02:00;2,690;0,000;-4,4
2022-01-03T08:00:00.000+02:00;2,630;0,000;-4,4
2022-01-03T09:00:00.000+02:00;2,490;0,000;-4,4
2022-01-03T10:00:00.000+02:00;3,870;0,000;-4,4
2022-01-03T11:00:00.000+02:00;4,180;0,000;-4,4
2022-01-03T12:00:00.000+02:00;4,230;0,000;-4,4
2022-01-03T13:00:00.000+02:00;3,370;0,000;-4,4
2022-01-03T14:00:00.000+02:00;2,760;0,000;-4,4
2022-01-03T15:00:00.000+02:00;3,100;0,000;-4,4
2022-01-03T16:00:00.000+02:00;1,960;0,000;-4,4
2022-01-03T17:00:00.000+02:00;2,630;0,000;-4,4
2022-01-03T18:00:00.000+02:00;1,830;0,000;-4,4
2022-01-03T19:00:00.000+02:00;2,230;0,000;-4,4
2022-01-03T20:00:00.000+02:00;4,650;0,000;-4,4
2022-01-03T21:00:00.000+02:00;5,370;0,000;-4,4
2022-01-03T22:00:00.000+02:00;4,460;0,000;-4,4
2022-01-03T23:00:00.000+02:00;2,060;0,000;-4,4
2022-01-04T00:00:00.000+02:00;1,060;0,000;-2,5
2022-01-04T01:00:00.000+02:00;2,530;0,000;-2,5
2022-01-04T02:00:00.000+02:00;2,140;0,000;-2,5
2022-01-04T03:00:00.000+02:00;1,640;0,000;-2,5
2022-01-04T04:00:00.000+02:00;1,140;0,000;-2,5
2022-01-04T05:00:00.000+02:00;3,700;0,000;-2,5
2022-01-04T06:00:00.000+02:00;4,530;0,000;-2,5
2022-01-04T07:00:00.000+02:00;3,070;0,000;-2,5
2022-01-04T08:00:00.000+02:00;1,840;0,000;-2,5
2022-01-04T09:00:00.000+02:00;2,390;0,000;-2,5
2022-01-04T10:00:00.000+02:00;1,810;0,000;-2,5
2022-01-04T11:00:00.000+02:00;1,810;0,000;-2,5
2022-01-04T12:00:00.000+02:00;2,400;0,000;-2,5
2022-01-04T13:00:00.000+02:00;2,500;0,000;-2,5
2022-01-04T14:00:00.000+02:00;4,670;0,000;-2,5
2022-01-04T15:00:00.000+02:00;4,890;0,000;-2,5
2022-01-04T16:00:00.000+02:00;2,990;0,000;-2,5
2022-01-04T17:00:00.000+02:00;2,890;0,000;-2,5
2022-01-04T18:00:00.000+02:00;2,260;0,000;-2,5
2022-01-04T19:00:00.000+02:00;2,660;0,000;-2,5
2022-01-04T20:00:00.000+02:00;2,810;0,000;-2,5
2022-01-04T21:00:00.000+02:00;7,440;0,000;-2,5
